id,account,epochSec,cents
t1,a1,1730505600,1299
t2,a2,1730505620,999
t3,,1730505680,2500            #  missing account
, a3,1730505700,1500           #  missing id
t5,a1,1730505800,9999999       #  amount out of range
t6,a2,1730505900,1299
t7,a2,1730505960,1299
t8,a3,1730506000,999
t9,a1,1730506060,2500
t10,a4,1730506120,0
t11,a1,1730592000,500
t12,a2,1730592060,700
t13,a2,1730592100,-100
t14,a3,1730592200,2200
t15,a3,1730592260,2500
t16,a1,1730592320,100
t17,a4,1730592380,999
t18,a4,1730592400,499
t19,a5,1730592460,2500
t20,a5,1730592480,2500
t21,a1,1730678400,300
t22,a2,173,
t69,a1,1730678400,
